nr_registro;marca_comercial;formulacao;ingrediente_ativo;titular_de_registro;classe;modo_de_acao;classe_toxicologica;classe_ambiental;organicos;situacao
15923;Elios 800 WG;WG - Grânulos Dispersíveis em Água;flutriafol (triazol) (800 g/kg);Sipcam Nichino Brasil S.A. - Uberaba/MG;Fungicida;Sistêmico/Contato;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
17324;Elios Gold;WG - Grânulos Dispersíveis em Água;flutriafol (triazol) (300 g/kg) + imidacloprido (neonicotinóide) (480 g/kg);Sipcam Nichino Brasil S.A. - Uberaba/MG;Fungicida/Inseticida;Sistêmico/Contato/Ingestão;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
26323;Elios WG SNB;WG - Grânulos Dispersíveis em Água;flutriafol (triazol) (800 g/kg);Sipcam Nichino Brasil S.A. - Uberaba/MG;Fungicida;Sistêmico/Contato;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
12326;"Elipse;Acetamiprido 250+Bifentrina 250 WG Tecnomyl;Acetamiprido 250+Bifentrina 250 WG Tecnomyl I;Acetamiprido 250+Bifentrina 250 WG Tecnomyl II;Acetamiprido 250+Bifentrina 250 WG Tecnomyl III";WG - Grânulos Dispersíveis em Água;acetamiprido (neonicotinóide) (250 g/kg) + bifentrina (piretróide) (250 g/kg);Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Altamente Perigoso ao Meio Ambiente;NAO;True
10499;Elite;EC - Concentrado Emulsionável;tebuconazol (triazol) (200 g/L);Bayer S.A. - São Paulo/ SP;Fungicida;Sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;OUTROS;True
2210;Ellect;WP - Pó Molhável;hidróxido de cobre (inorgânico) (691 g/kg);Oxiquímica Agrociência Ltda;Fungicida;Contato;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
12907;Emerald;EW - Emulsão Óleo em Água;tetraconazol (triazol) (125 g/L);Gowan Produtos Agrícolas Ltda. - Matriz Campinas/SP;Fungicida;Sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
54025;Emeritus 500 SC;SC - Suspensão Concentrada;clorotalonil (isoftalonitrila) (500 g/L);Cropchem Ltda - Porto Alegre;Fungicida;Não informado;Categoria 3  Produto Moderadamente Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
7423;Emeritus Max 720 SC;SC - Suspensão Concentrada;clorotalonil (isoftalonitrila) (720 g/L);Cropchem Ltda - Porto Alegre;Fungicida;Não informado;Categoria 2  Produto Altamente Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
3004;"Eminent 125 EW; Yaba 125 EW;";EW - Emulsão Óleo em Água;tetraconazol (triazol) (125 g/L);Gowan Produtos Agrícolas Ltda. - Matriz Campinas/SP;Fungicida;Sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
3814;Eminent Excell;SC - Suspensão Concentrada;Azoxistrobina (estrobilurina) (100 g/L) + tetraconazol (triazol) (80 g/L);Gowan Produtos Agrícolas Ltda. - Matriz Campinas/SP;Fungicida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
1410;Eminent Gold;ME - Micro Emulsão;tetraconazol (triazol) (230 g/L);Gowan Produtos Agrícolas Ltda. - Matriz Campinas/SP;Fungicida;Sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;OUTROS;True
10921;Empiric;SL - Concentrado Solúvel;2,4-D Sal de Colina (ácido ariloxialcanóico) (668.62 g/L);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
5610;Emzeb 800 WP;WP - Pó Molhável;mancozebe (alquilenobis(ditiocarbamato)) (800 g/kg);Coromandel América S.A;Fungicida;Contato;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
28625;Emzeb Flow;WG - Grânulos Dispersíveis em Água;mancozebe (alquilenobis(ditiocarbamato)) (750 g/kg);Coromandel América S.A;Acaricida/Fungicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
1921;Emzeb Platina;WG - Grânulos Dispersíveis em Água;mancozebe (alquilenobis(ditiocarbamato)) (750 g/kg);Coromandel América S.A;Acaricida/Fungicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
25420;Enelan;SC - Suspensão Concentrada;sulfentrazona (triazolona) (500 g/L);Tagros Brasil Comércio de Produtos Químicos Ltda.;Herbicida;Sistêmico/Seletivo;Não Classificado - Produto Não Classificado;Produto Muito Perigoso ao Meio Ambiente;NAO;True
14124;Enelan 500 SC;SC - Suspensão Concentrada;sulfentrazona (triazolona) (500 g/L);Maxunitech do Brasil Ltda;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
21522;Engenia;SL - Concentrado Solúvel;Dicamba (Ácido Benzóico) (600 g/L);Basf S.A.  São Paulo;Herbicida;Não informado;Categoria 3  Produto Moderadamente Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
2402;Engeo;EG - Grânulos Emulsionáveis;cipermetrina (piretróide) (220 g/L) + tiametoxam (neonicotinóide) (110 g/L);Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Inseticida;Sistêmico, de contato e ingestão;Categoria 4  Produto Pouco Tóxico;Produto Altamente Perigoso ao Meio Ambiente;OUTROS;True
6105;Engeo Pleno S;Formulação mista CS e SC;lambda-cialotrina (piretróide) (106 g/L) + tiametoxam (neonicotinóide) (141 g/L);Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Inseticida;sistêmico, de contato e ingestão;Categoria 4  Produto Pouco Tóxico;Produto Altamente Perigoso ao Meio Ambiente;NAO;True
10719;Enlist Colex-D;SL - Concentrado Solúvel;2,4-D Sal de Colina (ácido ariloxialcanóico) (668.62 g/L);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
10321;Enlist Crops Colex-D;SL - Concentrado Solúvel;2,4-D Sal de Colina (ácido ariloxialcanóico) (668.62 g/L);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Herbicida;Sistêmico/Seletivo condicional;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
16617;Enlistduo Colex-D;SL - Concentrado Solúvel;2,4-D Sal de Colina (ácido ariloxialcanóico) (285.92 g/L) + Glifosato Sal de Dimetilamina (glicina substituída) (259.66 g/L);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Herbicida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
