titular_de_registro;empresa_pais_tipo;empresa_estado;empresa_pais_mencionado;tipo_empresa
ISK Biosciences do Brasil Defensivos Agricolas Ltda;(Ishihara Sangyo Kaisha Ltd. (Fábrica)<JAPÃO>FORMULADOR) +  (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR);;JAPÃO;Com presença internacional
Oxon Brasil Defensivos Agrícolas Ltda.;(Sipcam Oxon S.P.A. - Salerano Sul Lambro <ITÁLIA>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>MANIPULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR);MG;ITÁLIA;Somente nacional
Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;(Syngenta Proteção de Cultivos Ltda. - Paulínia<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Syngenta S.A. - Cartagena<COLÔMBIA>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR);PR;BRASIL;Somente nacional
Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA;(Shangdong Libang Chemical Industry Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Stockton Agrimor do Brasil Ltda.<BRASIL>IMPORTADOR) +  (Alamos do Brasil Ltda. - Filial Mariópolis<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Filial Passo Fundo<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Luis Eduardo Magalhães<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Rondonópolis<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   São Paulo<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR   <BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Albaugh Agro Brasil Ltda.- São Paulo<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial <BRASIL>IMPORTADOR) +  (CHDS do Brasil Comercio de Insumos Agricolas Ltda - Balsas/MA<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Porto Alegre/RS<BRASIL>IMPORTADOR) +  (Macrofértil Indústria e Comércio de Fertilizantes Ltda. - Assis<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (Agrofauna Comércio de Insumos Ltda  S.J.do Rio Preto/SP<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Boa Vista/RR <BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Cerejeiras/RO<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Cuiaba/MT<BRASIL>IMPORTADOR) +  (AMAGGI EXPORTAÇÃO E IMPORTAÇÃO LTDA - Paragominas<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Matriz Cuiaba/MT<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Sorriso/ MT<BRASIL>IMPORTADOR) +  (Agrilean Inputs S.A. - Barueri/SP<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas Ltda Filial - Barueri/SP<BRASIL>IMPORTADOR);PR;CHINA, REPUBLICA POPULAR;Com presença internacional
Albaugh Agro Brasil Ltda.- São Paulo;(Albaugh Agro Brasil Ltda.- Resende<BRASIL>FORMULADOR) +  (Hailir Pesticides and Chemicals Group Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (ZheJiang Funong Biotech Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR);;BRASIL;Com presença internacional
FMC Química do Brasil Ltda. - Campinas/SP;(FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Syngenta Proteção de Cultivos Ltda. - Paulínia<BRASIL>FORMULADOR) +  (Bayer S.A. - Belford Roxo<BRASIL>FORMULADOR) +  (Lanxess Indústria de Poliuretanos e Lubrificantes Ltda. - Rio Claro Fechada<BRASIL>FORMULADOR) +  (Ipanema Industria de Produtos Veterinários Ltda.<BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Igarapava<BRASIL>IMPORTADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>IMPORTADOR) +  (FMC Química do Brasil Ltda.  - Barra Mansa<BRASIL>FORMULADOR);MG;BRASIL;Somente nacional
FMC Química do Brasil Ltda. - Campinas/SP;(FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Igarapava<BRASIL>IMPORTADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>IMPORTADOR) +  (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda.  - Barra Mansa<BRASIL>FORMULADOR);MG;BRASIL;Somente nacional
Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP;(Jiangsu Lanfeng Biochemical Co., Ltd. - Planta 1<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Repont Pesticide Factory - Jintan<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Anhui Zhongshan Chemical Industry Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Mindleader Crop Science Co. Ltd. <CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhenjiang Pioneer Cropscience Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Hailir Pesticides and Chemicals Group Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Corechem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Qingdao Audis Bio-Tech Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Suzhou Greenlands Chemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Nutrien Ag Solutions Argentina S.A.<ARGENTINA>FORMULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP <BRASIL>FORMULADOR) +  (Casa do Adubo S.A -  - Nova Friburgo/RJ<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Imperatriz/MA<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Ji-Paraná/RO<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Teixeira de Freitas/BA<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Imperatriz/MA<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Ji-Paraná/RO<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Nova Friburgo/RJ<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Mogi Mirim/SP<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Araguaína/TO<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Indaiatuba/SP<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Araguaíana/TO<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Araguaíana/TO<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Indaiatuba/SP<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Araguaína/TO<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Mogi Mirim/SP<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Cuiabá/MT<BRASIL>IMPORTADOR);PR;CHINA, REPUBLICA POPULAR;Com presença internacional
CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR;(CHDS Agrochemicals S.A.I.C.<PARAGUAI>FORMULADOR) +  (Lanlix Cropscience Co. Ltd.<TAIWAN (ILHA FORMOSA)>FORMULADOR) +  (Proquimur SA<URUGUAI>FORMULADOR) +  (Sino-Agri Leading (Tianjin) Agrochemical Company Limited.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Shreeji Pesticides Pvt. Ltd. - Gujarat<ÍNDIA>FORMULADOR) +  (Rudong Zhongyi Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>MANIPULADOR) +  (Agricultores Federados Argentinos S.C.L.<ARGENTINA>MANIPULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>MANIPULADOR) +  (Nortox S.A. - Arapongas<BRASIL>MANIPULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>MANIPULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>MANIPULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Fabrica Ituverava/SP<BRASIL>MANIPULADOR) +  (Meghmani Organics Ltd. - Unit II - Panoli<ÍNDIA>FORMULADOR) +  (Parijat Industries India Pvt. Ltd. - Ambala<ÍNDIA>FORMULADOR);PR;PARAGUAI;Com presença internacional
De Sangosse Agroquímica Ltda;(CJB Industries, Inc.  CS Plant<ESTADOS UNIDOS>FORMULADOR) +  (De Sangosse Agroquímica Ltda<BRASIL>MANIPULADOR) +  (De Sangosse Agroquímica Ltda<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR);;ESTADOS UNIDOS;Com presença internacional
Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;(Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agricola Ltda. - Filial Cuiabá<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agrícola Ltda. - Filial Passo Fundo<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agrícola Ltda. - Filial Uberaba<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agrícola Ltda. - Filial Barueri<BRASIL>IMPORTADOR) +  (Albaugh Agro Brasil Ltda.- São Paulo<BRASIL>IMPORTADOR) +  (Albaugh Agro Brasil Ltda.- Hortolandia<BRASIL>IMPORTADOR) +  (Albaugh Agro Brasil Ltda.- Carazinho<BRASIL>IMPORTADOR) +  (Albaugh Agro Brasil Ltda.- Resende<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   São Paulo<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Luis Eduardo Magalhães<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Rondonópolis<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.  Ibiporã<BRASIL>IMPORTADOR) +  (CCAB Agro S.A - Barueri<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Cuiaba<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Aparecida de Goiania<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Porto Alegre/RS<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Filial Carazinho<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Filial Ibiporã<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Filial Passo Fundo<BRASIL>IMPORTADOR) +  (Perterra Insumos Agropecuários S.A.  São Paulo/SP<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  São Paulo/SP<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  Itapetininga/SP<BRASIL>IMPORTADOR) +  (ALTA - America Latina Tecnologia Agrícola Ltda. - Filial Ibiporã<BRASIL>IMPORTADOR) +  (Alamos do Brasil Ltda.<BRASIL>IMPORTADOR) +  (Alamos do Brasil Ltda.  - Pinhalzinho<BRASIL>IMPORTADOR) +  (Alamos do Brasil Ltda. - Filial Mariópolis<BRASIL>IMPORTADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Fiagril Ltda.  Cuiabá/MT<BRASIL>IMPORTADOR) +  (Fiagril Ltda.  Lucas do Rio Verde/MT<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (DKBR Trading S.A. - São Paulo/SP<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  Cuiaba<BRASIL>IMPORTADOR) +  (Longping High-Tech Biotecnologia Ltd  Paracatu/MG<BRASIL>IMPORTADOR) +  (Longping High-Tech Biotecnologia Ltd  São Paulo/SP<BRASIL>IMPORTADOR) +  (Longping High-Tech Biotecnologia Ltd. - Santa Helena de Goiás/GO<BRASIL>IMPORTADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>MANIPULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>MANIPULADOR) +  (Somax Agro do Brasil Ltda - Foz do Iguaçu/PR<BRASIL>IMPORTADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>FORMULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Amaggi Exportação e Importação Ltda - Matriz Cuiaba/MT<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Boa Vista/RR <BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Cerejeiras/RO<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Matriz Cuiaba/MT<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Sorriso/ MT<BRASIL>IMPORTADOR) +  (AMAGGI EXPORTAÇÃO E IMPORTAÇÃO LTDA - Paragominas<BRASIL>IMPORTADOR) +  (Agrofauna Comércio de Insumos Ltda  S.J.do Rio;RS;CHINA, REPUBLICA POPULAR;Com presença internacional
Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial;(CHDS Agrochemicals S.A.I.C.<PARAGUAI>FORMULADOR) +  (Shandong Binnong Technology CO., LTD<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Anhui Huaxing Chemical Industry Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Hebei Shanli Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Suzhou Greenlands Chemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Coromandel International Limited. - Unit I - Sarigam<ÍNDIA>FORMULADOR) +  (Tudo Rural Agronegócios do Brasil Ltda - Curitiba/PR<BRASIL>IMPORTADOR) +  (TUDO RURAL AGRONEGOCIOS DO BRASIL LTDA - São Paulo<BRASIL>IMPORTADOR);PR;PARAGUAI;Com presença internacional
Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;(Syngenta Proteção de Cultivos Ltda. - Paulínia<BRASIL>FORMULADOR) +  (Syngenta Crop Protection LLC - Omaha Site<ESTADOS UNIDOS>FORMULADOR) +  (Syngenta Production France S.A.S. - Aigues-Vives<FRANÇA>FORMULADOR) +  (Chemark ZRT  <HUNGRIA, REPUBLICA DA>FORMULADOR) +  (Syngenta Limited - Grangemouth<REINO UNIDO>FORMULADOR);;BRASIL;Com presença internacional
Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;(Syngenta Proteção de Cultivos Ltda. - Paulínia<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Bayer S.A. - Belford Roxo<BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (Syngenta S.A. - Cartagena<COLÔMBIA>FORMULADOR) +  (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR);MG;BRASIL;Com presença internacional
Bayer S.A. - São Paulo/ SP;(Bayer S.A. - Belford Roxo<BRASIL>FORMULADOR) +  (Bayer S.A - Zarate - Argentina<ARGENTINA>FORMULADOR) +  (Bayer SAS - Villefranche<FRANÇA>FORMULADOR);;BRASIL;Com presença internacional
Bayer S.A. - São Paulo/ SP;(Bayer S.A. - Belford Roxo<BRASIL>FORMULADOR) +  (Bayer AG -Industriepark Höchst - Frankfurt <ALEMANHA>FORMULADOR);;BRASIL;Com presença internacional
Mitsui & Co (Brasil) S.A.;(UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Micro Service Indústria Química Ltda.<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR) +  (Indústrias Químicas Lorena Ltda - Roseira <BRASIL>FORMULADOR) +  (Syngenta Proteção de Cultivos Ltda. - Paulínia<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>IMPORTADOR);SP;BRASIL;Somente nacional
Dinagro Agropecuária Ltda.;(Beijing Kingbo Biotech Co., Ltd. (Escritório) - Beijing<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Inner Mongolia KingboBeijing Kingbo Biotech Co., Ltd. (fábrica)<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Dinagro Agropecuária Ltda.<BRASIL>FORMULADOR);;CHINA, REPUBLICA POPULAR;Com presença internacional
Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;(Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>MANIPULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>MANIPULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Chizhou Bioagriland Multichem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Pilarquim (Jiangsu) Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Arcad Industrialização Química Ltda - Paulínia/SP<BRASIL>FORMULADOR) +  (Fersol Indústria e Comércio Ltda.<BRASIL>FORMULADOR) +  (Lier Cropscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Aijin Agrochemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Avilive Chemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR);MG;BRASIL;Com presença internacional
Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;(Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Sipcam Nichino Brasil S. A. - Igarapava/SP<BRASIL>MANIPULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>MANIPULADOR) +  (Hangzhou Nutrichem Company Limited <CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Jiangsu Repont Agrochemical Co. Ltd  - Rudong<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 03<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Arcad Industrialização Química Ltda - Paulínia/SP<BRASIL>FORMULADOR) +  (Chizhou Bioagriland Multichem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Pilarquim (Jiangsu) Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Oriental (Luzhou) Agrochemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Aijin Agrochemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR);SP;PARAGUAI;Com presença internacional
Maxunitech do Brasil Ltda;(Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>FORMULADOR) +  (Oriental (Luzhou) Agrochemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Max (Rudong) Chemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Arcad Industrialização Química Ltda - Paulínia/SP<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR);SP;BRASIL;Com presença internacional
